visit_id	revisit_interval	revisit_intention
v23941		0
v24282	166.08	1
v24293		0
v25436		0
v25618		0
v25733	63.93	1
v25734		0
v25932		0
v26115		0
v26210		0
v26307		0
v26387		0
v26694	41.88	1
v26695		0
v26751		0
v27091		0
v27201		0
v27285	179.92	1
v27371		0
v27378		0
v27416		0
v27566		0
v27656		0
v27695		0
v27780		0
v28031		0
v28155		0
v28166		0
v28182		0
v28282		0
v28406		0
v28424	158.12	1
v28441		0
v28650		0
v28677		0
v28776		0
v28889		0
v28921		0
v29009		0
v29112		0
v29141		0
v29171		0
v29230		0
v29697		0
v29736		0
v29776	177.7	1
v29812		0
v29868		0
v29967	202.91	1
v29979		0
v30035		0
v30042		0
v30127		0
v30155		0
v30156	133.04	1
v30157		0
v30398	188.66	1
v30615		0
v30619		0
v30756		0
v30820		0
v30833		0
v30864		0
v31037		0
v31122		0
v31154		0
v31423		0
v31575		0
v31814		0
v31918		0
v32483		0
v32586		0
v32620		0
v32735		0
v32988		0
v32993		0
v33436		0
v33533	2.75	1
v33534		0
v33548		0
v33650		0
v33697		0
v33703		0
v33863		0
v34271		0
v34287		0
v34345		0
v34489	229.05	1
v34568		0
v34582	111.94	1
v34586		0
v34588		0
v34618	8.25	1
v34619		0
v34684		0
v34712		0
v34830		0
v34833		0
v34984	74.05	1
v35102		0
v35141		0
v35148		0
v35161		0
v35195		0
v35337		0
v35377		0
v35503		0
v35652	54.89	1
v35653		0
v35681		0
v35783		0
v36371	28.01	1
v36372		0
v36589	202.99	1
v36834	228.9	1
v36873		0
v37376		0
v37442	0.87	1
v37443		0
v37565		0
v37610		0
v37662		0
v37824		0
v38003		0
v38158		0
v38224		0
v38326		0
v38393	148.95	1
v38555		0
v38570		0
v38821		0
v39002		0
v39012		0
v39135		0
v39163		0
v39176		0
v39182		0
v39191		0
v39427		0
v39512		0
v39540		0
v39589		0
v39718		0
v39722		0
v39748		0
v39843		0
v39928		0
v39962		0
v40000		0
v40077		0
v40112		0
v40119		0
v40293		0
v40493		0
v40539		0
v40746		0
v40914		0
v40955	1.06	1
v40956		0
v40967		0
v41037		0
v41127		0
v41295		0
v41344		0
v41356		0
v41467		0
v41608		0
v41645		0
v41682		0
v41687		0
v41769		0
v41969		0
v41973		0
v42330	0.94	1
v42331		0
v42504		0
v42512		0
v42527		0
v42571		0
v42573		0
v42578		0
v42599		0
v42676		0
