visit_id	revisit_interval	revisit_intention
v22862		0
v22889		0
v22926	188.96	1
v23007		0
v23107	131.09	1
v23108		0
v23438		0
v23499		0
v23597		0
v23623	140.62	1
v23747		0
v23776		0
v24190		0
v24315		0
v24349		0
v24583		0
v24704		0
v24906		0
v24943	261.15	1
v24996	96.05	1
v25319		0
v25553		0
v25683		0
v25737	364.03	1
v25864		0
v25984		0
v26081	138.97	1
v26082		0
v26335		0
v26348		0
v26357		0
v26503		0
v26868	153.99	1
v27108		0
v27135		0
v27168		0
v27210		0
v27424		0
v27426		0
v27629		0
v27630	111.93	1
v27631		0
v27998		0
v28066		0
v28281		0
v28355		0
v28358		0
v28492		0
v28569		0
v28620		0
v28637		0
v28645		0
v28841		0
v28854		0
v28874	15.12	1
v28875		0
v29042		0
v29080	86.95	1
v29115		0
v29268		0
v29292		0
v29361		0
v29389		0
v29664		0
v29675		0
v29760		0
v29772		0
v29910		0
v30323		0
v30782		0
v30874		0
v30893		0
v30930		0
v30961		0
v31072		0
v31389		0
v31487		0
v31560		0
v31667	2.16	1
v31668		0
v31872		0
v32075		0
v32134		0
v32212		0
v32268		0
v32450		0
v32594		0
v32648		0
v32771		0
v32928		0
v33002		0
v33018		0
v33045		0
v33127		0
v33157		0
v33216	173.0	1
v33217		0
v33349		0
v33569		0
v33975		0
v34048		0
v34145		0
v34254		0
v34278		0
v34326		0
v34334		0
v34341		0
v34449	87.1	1
v34450		0
v34655		0
v34688		0
v34836		0
v34915		0
v35148		0
v35303		0
v35492		0
v35549		0
v35668		0
v35848		0
v35956		0
v35994		0
v36020		0
v36140		0
v36272		0
v36563		0
v36701		0
v36765		0
v36907		0
v37212		0
v37317		0
v37345		0
v37462		0
v37468		0
v37679	97.85	1
v37680		0
v37688		0
v37893		0
v37900		0
v38084		0
v38234		0
v38267		0
v38312	236.15	1
v38451		0
v38518		0
v38582		0
v38714		0
v38841		0
v39008		0
v39066	111.94	1
v39067		0
v39295		0
v39330	202.0	1
v39336		0
v39372		0
v39479		0
v39489	15.12	1
v39490		0
v39559		0
v39573		0
v39675		0
v39752		0
v39820		0
v39842		0
v40040		0
v40046	8.19	1
v40047		0
v40204		0
v40245		0
v40522		0
v40610		0
v40681		0
v40695		0
v40842		0
v40941		0
v40979		0
v41114	166.71	1
v41136		0
v41192		0
v41238		0
v41604		0
v41791		0
v41811		0
v41977	119.14	1
v42150		0
v42226		0
v42419		0
v42442		0
